symbol,date,chg_9am_pct,config,entry_time_ET,entry_px,exit_time_ET,exit_px,exit_reason,pnl_pct,pnl_usd,mfe_pct,mae_pct,hold_sec,spread,short_seg_bars
AVXX,2026-06-30,54.5,flip_only,2026-06-30 14:16:17,6.85,14:34:57,6.76,ATR_FLIP,-1.314,-0.9,0.582,-1.168,1120,0.05,1
INTZ,2026-06-30,32.8,+2%,2026-06-30 14:17:22,0.9367,14:37:18,0.9269,ATR_FLIP,-1.046,-0.098,2.434,-1.046,1196,0.0068,29
INTZ,2026-06-30,32.8,+3%,2026-06-30 14:17:22,0.9367,14:37:18,0.9269,ATR_FLIP,-1.046,-0.098,2.434,-1.046,1196,0.0068,29
INTZ,2026-06-30,32.8,flip_only,2026-06-30 14:17:22,0.9367,14:37:18,0.9269,ATR_FLIP,-1.046,-0.098,2.434,-1.046,1196,0.0068,29
AVXX,2026-06-30,54.5,+2%,2026-06-30 14:35:48,6.86,14:54:15,6.69,ATR_FLIP,-2.478,-1.7,0.0,-2.125,1106,0.03,10
AVXX,2026-06-30,54.5,+3%,2026-06-30 14:35:48,6.86,14:54:15,6.69,ATR_FLIP,-2.478,-1.7,0.0,-2.125,1106,0.03,10
AVXX,2026-06-30,54.5,flip_only,2026-06-30 14:35:48,6.86,14:54:15,6.69,ATR_FLIP,-2.478,-1.7,0.0,-2.125,1106,0.03,10
SVRE,2026-06-30,146.0,+2%,2026-06-30 14:38:31,2.34,14:42:24,2.3868,TARGET,2.0,0.468,10.256,-1.709,232,0.04,22
SVRE,2026-06-30,146.0,+3%,2026-06-30 14:38:31,2.34,14:43:08,2.4102,TARGET,3.0,0.702,10.256,-1.709,276,0.04,22
SVRE,2026-06-30,146.0,flip_only,2026-06-30 14:38:31,2.34,14:49:01,2.41,ATR_FLIP,2.991,0.7,10.256,-1.709,629,0.04,22
INTZ,2026-06-30,32.8,+2%,2026-06-30 15:06:19,0.92,15:11:37,0.9159,ATR_FLIP,-0.446,-0.041,0.978,-0.837,318,0.0007,34
