group,date,symbol,atr_buy_time_et,fill_time_et,fill_price,exit_time_et,exit_price,exit_trigger,exit_reason,max_down_pct,max_down_time_et,minutes_to_max_down,max_up_pct,max_up_time_et,minutes_to_max_up,fill_volume_ratio_20,fill_vwap,fill_price_vs_vwap_pct,fill_macd_histogram,fill_stochastic,fill_rsi,fill_dot_count,fill_atr_trailing_stop,scanner_confirm_time_et,scanner_drop_type,scanner_drop_time_et,bar1_open,bar1_high,bar1_low,bar1_close,bar1_volume,bar2_open,bar2_high,bar2_low,bar2_close,bar2_volume,bar3_open,bar3_high,bar3_low,bar3_close,bar3_volume,bar4_open,bar4_high,bar4_low,bar4_close,bar4_volume,bar5_open,bar5_high,bar5_low,bar5_close,bar5_volume
14_never_above_never_plus_1,2026-08-26,XPON,11:37:00,11:37:00.315452,9.58,12:14:01.937941,8.65,atr_sell,atr_sell,-9.707724425887266,12:13:37.300011,36.61640931666667,-0.8350730688935326,11:37:00.315452,0.0,2.618315918869084,9.428919425468264,1.6023105905821566,0.09593373068062065,99.99999999999999,68.60626090693536,3,8.814175720603878,09:45:07,none,none,9.58,9.58,9.31,9.374,83151,9.39,9.42,9.23,9.42,69137,9.4038,9.45,9.3296,9.42,34483,9.41,9.52,9.32,9.32,59240,9.315,9.32,9.2,9.201,45024
5_never_above_reached_plus_5,2026-08-26,YYGH,15:36:00,15:36:00.656146,1.99,15:59:59.984816,2.13,session_close,session_close,-2.010050251256279,15:36:45.704206,0.7508009999999999,7.035175879396971,15:59:56.225492,23.926155766666668,2.0327917107003346,2.0413185753007084,-2.513991491658696,0.0048881066243119005,90.90909090909072,62.59642964403321,3,1.9088169049174668,04:09:56,none,none,1.98,1.99,1.9596,1.965,30591,1.97,1.975,1.96,1.9604,15402,1.96,1.98,1.96,1.9604,13524,1.97,1.97,1.96,1.97,26145,1.97,1.98,1.97,1.9786,22006
14_never_above_never_plus_1,2026-08-27,PPCB,09:33:00,09:33:00.996009,4.13,09:50:01.813611,3.31,atr_sell,atr_sell,-25.66585956416465,09:48:15.571558,15.242925816666666,-0.2421307506053183,09:33:01.060905,0.0010815999999999998,4.666271916641859,3.6207315642658577,14.065346372547282,0.041938390218593594,96.05211212001576,69.92525156443506,3,3.3174264999158867,08:31:04,none,none,4.0901,4.13,3.81,3.85,1501023,3.8599,3.99,3.29,3.355,1365196,3.32,3.55,3.1301,3.42,1196939,3.41,3.67,3.37,3.6,721503,3.5901,3.65,3.48,3.5999,460083
5_never_above_reached_plus_5,2026-08-28,QNRX,08:45:00,08:45:00.502982,7.15,14:05:31.480762,6.92,atr_sell,atr_sell,-8.531468531468533,10:08:34.222181,83.56198665000001,15.1048951048951,09:36:14.143733,51.22734585,1.199101932523705,7.2829310841958685,-1.8252415498525298,0.030131343401509317,89.47368421052632,57.361737763612915,3,6.73060487544961,07:21:56,RETENTION_DROP,10:08:41,7.1207,7.15,7.05,7.1276,23851,7.11,7.12,7.08,7.11,9067,7.11,7.1294,7.06,7.1,16819,7.09,7.1,6.94,7.0085,16702,6.99,7.11,6.9303,6.95,20296
5_never_above_reached_plus_5,2026-08-31,YDDL,08:12:00,08:12:00.048820,2.39,09:29:00.872757,2.38,atr_sell,atr_sell,-4.184100418410042,08:27:09.465211,15.156939849999999,6.2761506276150625,09:05:33.121454,53.55121056666667,1.2358276257846106,2.4310232660547144,-1.687489652095786,0.007991959781508259,100.0,56.52909906926329,3,2.2639011237435764,05:28:39,FADE,10:57:57,2.38,2.39,2.35,2.3699,32083,2.37,2.3799,2.35,2.36,10144,2.37,2.37,2.35,2.35,27361,2.358,2.36,2.34,2.34,7264,2.3403,2.3597,2.33,2.34,10829
14_never_above_never_plus_1,2026-08-31,RDHL,10:40:00,10:40:02.694482,1.13,11:26:01.803059,1.07,atr_sell,atr_sell,-7.079646017699104,10:49:47.548393,9.747565183333334,0.8849557522123908,11:06:28.898105,26.436727050000002,2.022518611349676,1.396012897833349,-19.055189120831805,0.008411416070832933,85.71428571428599,56.763935507246636,3,1.037715761535333,07:41:31,FADE,17:51:21,1.125,1.13,1.11,1.1188,223402,1.12,1.12,1.09,1.0992,188728,1.0957,1.1,1.09,1.0901,57226,1.09,1.1,1.07,1.0791,158975,1.07,1.08,1.07,1.07,76156
5_never_above_reached_plus_5,2026-08-31,AEHL,11:23:00,11:23:00.894675,6.46,12:46:00.036894,6.84,atr_sell,atr_sell,-3.5603715170278605,11:27:57.157372,4.937711616666666,29.566563467492244,12:41:01.982518,78.01813071666668,1.662512833933928,6.6420947771220415,-2.7415263291521663,0.023554998478377144,96.29629629629638,63.44697889976064,3,6.0996823793991775,04:06:23,none,none,6.44,6.4574,6.3,6.37,20339,6.357,6.4,6.35,6.3859,15180,6.39,6.44,6.26,6.2984,27943,6.2802,6.35,6.24,6.3259,22777,6.29,6.33,6.23,6.26,18088
14_never_above_never_plus_1,2026-08-31,WETO,12:21:00,12:21:00.121548,10.7,12:32:00.515516,9.63,atr_sell,atr_sell,-9.999999999999986,12:31:32.920693,10.546652416666666,-1.6822429906542036,12:21:00.121548,0.0,2.274973714838325,10.980551810997264,-2.554988272231329,0.04122087659432355,99.99999999999999,53.268150132344,3,9.766340891484186,09:34:44,FADE,15:37:17,10.605,10.605,10.3,10.3028,59111,10.325,10.34,10.1,10.145,25829,10.1001,10.32,10.0801,10.2,14536,10.15,10.2099,10.13,10.16,7791,10.17,10.17,10.11,10.11,7101
5_never_above_reached_plus_5,2026-08-31,AEHL,14:15:00,14:15:03.000092,6.34,15:22:01.238074,6.27,atr_sell,atr_sell,-1.7350157728706517,14:19:29.995332,4.449920666666667,8.359621451104115,14:44:12.434794,29.157245033333332,2.0916211697161113,6.815158138402094,-6.972077958465405,0.02707899128722964,97.4121282348399,64.76619585791255,3,6.039663113610061,04:06:23,none,none,6.315,6.34,6.25,6.2899,23272,6.265,6.31,6.26,6.29,21822,6.2906,6.2906,6.25,6.255,10559,6.26,6.29,6.25,6.27,9907,6.25,6.27,6.23,6.2545,10143
14_never_above_never_plus_1,2026-09-01,SSM,13:38:00,13:38:08.983953,4.03,13:55:05.504969,3.9,atr_sell,atr_sell,-3.2258064516129115,13:54:49.165143,16.6696865,0.0,13:47:33.439939,9.407599766666667,2.2920646125737067,4.0176265534415165,0.3079790118343473,0.003116440798442929,100.0,61.974208518921714,3,3.869961473475874,04:35:52,none,none,4.01,4.03,4.0,4.01,6692,4.015,4.02,4.01,4.01,1884,4.015,4.015,3.99,3.9919,11415,3.98,4.0062,3.9707,3.9972,5058,3.993505,3.993505,3.9712,3.98,707
3_never_above_plus_1_not_plus_5,2026-09-01,BIAF,14:50:00,14:50:01.023077,6.84,15:55:03.180469,6.53,atr_sell,atr_sell,-4.678362573099415,15:54:43.787943,64.71274776666667,1.023391812865504,15:17:17.159562,27.268941416666667,2.2223006280305246,7.114409279142217,-3.857091550056324,0.020836569152564932,100.0,68.48699756330039,3,6.4667582239544945,08:07:07,none,none,6.5801,6.725,6.58,6.6947,16419,6.6981,6.6981,6.641,6.65,10764,6.64,6.67,6.64,6.64,6327,6.64,6.66,6.62,6.6352,2100,6.6301,6.72,6.63,6.63,8398
3_never_above_plus_1_not_plus_5,2026-09-01,RDAC,15:06:00,15:06:00.703983,6.58,15:59:56.444847,6.55,session_close,session_close,-4.255319148936176,15:09:48.936028,3.803867416666667,3.951367781155013,15:55:30.531222,49.49712065000001,4.84819932998325,7.178190191672011,-8.333440264177149,0.027614738787091885,69.23076923076918,64.59569800843923,3,6.146651597386911,13:46:29,none,none,6.58,6.58,6.3601,6.45,6995,6.4,6.47,6.4,6.4383,1304,6.45,6.45,6.41,6.41,1179,6.41,6.4199,6.39,6.39,1990,6.41,6.41,6.35,6.36,2847
