day,symbol,break_number,opening_high,break_minute_et,atr_0930,atr_entry,body_pct,volume_ratio,macd_bullish,rsi_bullish,stoch_bullish,red_0925_0929,efficiency,reversals,status,reasons,qualification
2026-08-26,CRE,6,6.33000000,09:55,LONG,LONG,0.5,0.5652803920235672299739421840,False,False,True,4,1,0,REJECT,R3 STACK_DISAGREES; R5 FOUR_OF_FIVE_RED,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,7,6.33000000,09:58,LONG,LONG,0.5187106335679881437569470174,1.041396102554382353443559109,True,False,True,4,0.125,2,REJECT,R3 STACK_DISAGREES; R5 FOUR_OF_FIVE_RED; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,1,3.61930000,09:30,SHORT,SHORT,0.06453694740238786705388835108,8.000075788717531330808690330,False,False,False,3,0.3333333333333333333333333333,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,2,3.61930000,09:31,SHORT,SHORT,0.58,7.883805969576838312195945113,True,True,True,3,1,0,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,3,3.61930000,09:34,SHORT,LONG,0.7212857142857142857142857143,2.803826170072518305175356202,False,False,False,3,0.1330798479087452471482889734,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,4,3.61930000,09:36,SHORT,LONG,0.6333333333333333333333333333,1.223154290736208674848797398,False,True,False,3,0.5050505050505050505050505051,1,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,5,3.61930000,09:37,SHORT,LONG,0.05764705882352941176470588235,0.7548833165032926253903662927,False,False,False,3,0.3379273071206593703553573841,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,6,3.61930000,09:38,SHORT,LONG,0.08333333333333333333333333333,0.8649155238104455606851007681,True,True,False,3,0.9992163009404388714733542320,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,7,3.61930000,09:39,SHORT,LONG,0.7407142857142857142857142857,0.4814818090202453825925663025,True,True,True,3,0.9992598075499629903774981495,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,8,3.61930000,09:44,SHORT,LONG,0.5555555555555555555555555556,0.4593595693971624701442313603,False,False,False,3,0.9333333333333333333333333333,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,9,3.61930000,09:45,SHORT,LONG,0.3025404157043879907621247113,0.4321380435142402944712725781,False,False,False,3,0.5886287625418060200668896321,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-27,PPCB,10,3.61930000,09:46,SHORT,LONG,0.6213513513513513513513513514,1.038959508299555606628627050,False,False,False,3,0.8325859491778774289985052317,2,REJECT,R1 ATR_NOT_CONTINUOUSLY_LONG; R2 RED_BREAK_BAR; R3 STACK_DISAGREES,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,1,7.48000000,09:30,LONG,LONG,0.2187086336225915575819973526,14.10684492016820232868049775,False,True,True,3,0.09632330598602248556669705257,1,REJECT,R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,2,7.48000000,09:32,LONG,LONG,0.7291666666666666666666666667,4.086347516635326984216624121,True,True,True,3,0.6853681861651259164807140580,2,PASS,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,3,7.48000000,09:33,LONG,LONG,0.03,6.269766198668022897532798266,True,False,False,3,0.6420810009878169245966414225,3,REJECT,R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,4,7.48000000,09:40,LONG,LONG,0.3655223880597014925373134328,2.302225805334029980158674423,False,False,False,3,1,0,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,5,7.48000000,09:41,LONG,LONG,0.4258359531294655615890254358,0.8424004990516290329483279599,False,True,False,3,0.4958246346555323590814196242,1,REJECT,R3 STACK_DISAGREES; R4 BODY_LT_45PCT,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-28,QNRX,6,7.48000000,09:49,LONG,LONG,0.4292682926829268292682926829,0.7087254574712414621144562407,False,False,False,3,0.4595254237288135593220338983,3,REJECT,R2 RED_BREAK_BAR; R3 STACK_DISAGREES; R4 BODY_LT_45PCT; R6 CHOPPY,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
