day,symbol,group,entry_time_et,entry_price,entry_source,first_five_at_et,first_five_bid,pullback_reference_bid,pullback_started_at_et,pullback_giveback_points,pullback_giveback_pct,pullback_trough_at_et,recovered_at_et,pullback_duration_seconds,came_back,halt_count,gradable,gradability_reason,rule,armed_at_et,exit_at_et,exit_price,return_pct,flat_return_pct,difference_vs_flat,price_at_1000,price_at_1000_time_et,qualification
2026-08-25,DAIC,PRIMARY,09:30:21,3.66,FROZEN FROM OPERATOR-APPROVED ROW,09:30:23,3.850000,3.890000,09:30:23,0.273224043715846994535519100,-0.2570694087403598971722365000,09:30:23,09:30:23,0.005201,True,0,True,,TOUCH-F3-T5,09:30:23,09:30:27,3.760000,2.732240437158469945355191300,5.191256830601092896174863400,-2.459016393442622950819672100,4.100000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,TOUCH-F4-T3,09:30:19,09:30:31,6.480000,6.055646481178396072013093300,5.073649754500818330605564600,0.981996726677577741407528700,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,MINUTE_CLOSE-F3-T5,-,10:02:53,5.230000,-14.40261865793780687397708674,5.073649754500818330605564600,-19.47626841243862520458265134,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,MINUTE_CLOSE-F3-T3,-,10:02:53,5.230000,-14.40261865793780687397708674,5.073649754500818330605564600,-19.47626841243862520458265134,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,MINUTE_CLOSE-F4-T5,-,10:02:53,5.230000,-14.40261865793780687397708674,5.073649754500818330605564600,-19.47626841243862520458265134,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,DAIC,PRIMARY,09:30:04,6.11,FROZEN FROM OPERATOR-APPROVED ROW,09:30:19,6.420000,6.420000,09:30:19,0.163666121112929623567921400,-0.1557632398753894080996884700,09:30:19,09:30:19,0.002824,True,1,True,,MINUTE_CLOSE-F4-T3,-,10:02:53,5.230000,-14.40261865793780687397708674,5.073649754500818330605564600,-19.47626841243862520458265134,5.230000,10:02:53,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,TOUCH-F3-T5,09:30:58,09:31:00,6.560000,2.982731554160125588697017300,5.023547880690737833594976500,-2.040816326530612244897959200,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,TOUCH-F3-T3,09:30:58,09:31:00,6.570000,3.139717425431711145996860300,5.023547880690737833594976500,-1.883830455259026687598116200,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,TOUCH-F4-T5,09:30:58,09:31:00,6.600000,3.610675039246467817896389300,5.023547880690737833594976500,-1.412872841444270015698587200,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,TOUCH-F4-T3,09:30:58,09:31:00,6.600000,3.610675039246467817896389300,5.023547880690737833594976500,-1.412872841444270015698587200,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-26,CRE,PRIMARY,09:30:42,6.37,FROZEN FROM OPERATOR-APPROVED ROW,09:30:58,6.690000,6.770000,09:30:58,7.378335949764521193092621700,-6.942392909896602658788774000,09:31:24,09:31:41,43.157814,True,0,True,,MINUTE_CLOSE-F3-T5,09:32:00,09:32:49,7.060000,10.83202511773940345368916800,5.023547880690737833594976500,5.808477237048665620094191500,6.140000,10:00:00,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
