session_day_et,split,symbol,buy_signal_ts,entry_ts,reached_5,what_went_right_or_wrong,what_would_have_flagged_it_early
2026-08-24,build,XPON,2026-08-24T18:52:00+00:00,2026-08-24T18:52:00.470706+00:00,True,"Reached +5%; 0m price -0.27%, range -0.27% to -0.27%, vol +2.81x, hist rising, dot 3, ATR long, VWAP below; 3m price +3.38%, range -0.95% to +4.46%, vol +2.36x, hist rising, dot 3, ATR long, VWAP below; 5m price -2.57%, range -7.57% to +7.97%, vol +1.62x, hist falling, dot 2, ATR long, VWAP below; 10m price -2.97%, range -7.57% to +7.97%, vol +0.34x, hist falling, dot 2, ATR long, VWAP below",no selected early failure combination present
2026-08-24,build,PMI,2026-08-24T19:14:00+00:00,2026-08-24T19:14:00.205665+00:00,True,"Reached +5%; 0m price -0.85%, range -0.85% to -0.85%, vol +3.36x, hist rising, dot 3, ATR long, VWAP above; 3m price +0.43%, range -1.28% to +1.92%, vol +2.30x, hist falling, dot 3, ATR long, VWAP above; 5m price +1.07%, range -1.28% to +1.92%, vol +2.89x, hist rising, dot 3, ATR long, VWAP above; 10m price +0.43%, range -3.85% to +3.21%, vol +0.87x, hist falling, dot 2, ATR long, VWAP above",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-24,build,LUCY,2026-08-24T19:20:00+00:00,2026-08-24T19:20:00.988445+00:00,False,"Did not reach +5%; 0m price -0.90%, range -0.90% to -0.90%, vol +8.34x, hist rising, dot 3, ATR long, VWAP above; 3m price -2.70%, range -2.70% to -0.90%, vol +0.79x, hist rising, dot 3, ATR long, VWAP above; 5m price -3.60%, range -3.60% to -0.90%, vol +0.70x, hist falling, dot 0, ATR long, VWAP above; 10m price -2.70%, range -3.60% to -0.90%, vol +0.15x, hist falling, dot 1, ATR long, VWAP above",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,BTCT,2026-08-24T19:47:00+00:00,2026-08-24T19:47:00.061639+00:00,False,"Did not reach +5%; 0m price -0.53%, range -0.53% to -0.53%, vol +1.51x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.07%, range -1.07% to -0.53%, vol +1.17x, hist falling, dot 3, ATR long, VWAP below; 5m price -1.07%, range -1.07% to -0.53%, vol +0.36x, hist falling, dot 0, ATR long, VWAP below; 10m price -3.74%, range -3.74% to -0.53%, vol +1.58x, hist falling, dot 0, ATR short, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling; 10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-24,build,LUCY,2026-08-24T19:56:00+00:00,2026-08-24T19:56:00.913644+00:00,False,"Did not reach +5%; 0m price -0.88%, range -0.88% to -0.88%, vol +5.53x, hist rising, dot 3, ATR long, VWAP above; 3m price -1.77%, range -1.77% to -0.88%, vol +1.33x, hist falling, dot 0, ATR long, VWAP above; 5m price NA, range -3.54% to -0.88%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 10m price NA, range -3.54% to -0.88%, vol NA, hist NA, dot NA, ATR NA, VWAP NA",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-25,build,WVVIP,2026-08-25T15:55:00+00:00,2026-08-25T15:55:00.522967+00:00,True,"Reached +5%; 0m price -3.11%, range -3.11% to -3.11%, vol +1.98x, hist rising, dot 3, ATR long, VWAP below; 3m price +1.90%, range -9.52% to +2.25%, vol +1.76x, hist rising, dot 3, ATR long, VWAP below; 5m price +6.40%, range -9.52% to +6.92%, vol +4.26x, hist rising, dot 3, ATR long, VWAP below; 10m price +5.19%, range -9.52% to +6.92%, vol +1.65x, hist rising, dot 3, ATR long, VWAP below",no selected early failure combination present
2026-08-25,build,DAIC,2026-08-25T16:06:00+00:00,2026-08-25T16:06:00.328641+00:00,True,"Reached +5%; 0m price -0.29%, range -0.29% to -0.29%, vol +9.72x, hist rising, dot 3, ATR long, VWAP below; 3m price -2.02%, range -5.49% to +1.16%, vol +2.03x, hist falling, dot 3, ATR long, VWAP below; 5m price +1.16%, range -5.49% to +1.45%, vol +2.08x, hist rising, dot 3, ATR long, VWAP below; 10m price +2.02%, range -5.49% to +6.07%, vol +1.24x, hist falling, dot 2, ATR long, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-25,build,PMI,2026-08-25T16:21:00+00:00,2026-08-25T16:21:00.067792+00:00,True,"Reached +5%; 0m price -0.77%, range -0.77% to -0.77%, vol +3.63x, hist rising, dot 3, ATR long, VWAP below; 3m price +0.52%, range -1.80% to +1.03%, vol +1.65x, hist rising, dot 3, ATR long, VWAP below; 5m price +1.42%, range -1.80% to +2.96%, vol +3.20x, hist falling, dot 3, ATR long, VWAP below; 10m price +3.09%, range -1.80% to +4.64%, vol +1.93x, hist falling, dot 3, ATR long, VWAP below",no selected early failure combination present
2026-08-25,build,AIXI,2026-08-25T16:24:00+00:00,2026-08-25T16:24:00.285366+00:00,True,"Reached +5%; 0m price -0.86%, range -0.86% to -0.86%, vol +1.07x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.72%, range -2.59% to +0.00%, vol +0.44x, hist falling, dot 2, ATR long, VWAP below; 5m price -0.86%, range -2.59% to +0.00%, vol +0.49x, hist rising, dot 3, ATR long, VWAP below; 10m price +2.59%, range -2.59% to +5.17%, vol +1.15x, hist falling, dot 1, ATR long, VWAP below",no selected early failure combination present
2026-08-25,build,WVVIP,2026-08-25T16:38:00+00:00,2026-08-25T16:38:01.778848+00:00,False,"Did not reach +5%; 0m price -0.71%, range -0.71% to -0.71%, vol +0.86x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.25%, range -1.79% to +0.89%, vol +0.70x, hist falling, dot 2, ATR long, VWAP below; 5m price -7.32%, range -8.57% to +0.89%, vol +1.07x, hist falling, dot 0, ATR short, VWAP below; 10m price -6.79%, range -12.50% to +0.89%, vol +0.52x, hist falling, dot 3, ATR short, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-25,build,AIXI,2026-08-25T17:36:00+00:00,2026-08-25T17:36:01.808671+00:00,False,"Did not reach +5%; 0m price -0.80%, range -0.80% to -0.80%, vol +3.42x, hist rising, dot 3, ATR long, VWAP below; 3m price +1.60%, range -2.40% to +2.40%, vol +3.00x, hist rising, dot 3, ATR long, VWAP below; 5m price -0.80%, range -2.40% to +2.40%, vol +0.59x, hist falling, dot 0, ATR long, VWAP below; 10m price -3.20%, range -4.80% to +2.40%, vol +1.12x, hist falling, dot 1, ATR long, VWAP below",10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-25,build,DAIC,2026-08-25T18:03:00+00:00,2026-08-25T18:03:00.400137+00:00,True,"Reached +5%; 0m price -0.82%, range -0.82% to -0.82%, vol +7.47x, hist rising, dot 3, ATR long, VWAP below; 3m price +2.19%, range -1.64% to +2.73%, vol +2.74x, hist rising, dot 3, ATR long, VWAP below; 5m price +0.27%, range -1.64% to +2.73%, vol +0.81x, hist falling, dot 3, ATR long, VWAP below; 10m price -0.27%, range -1.64% to +3.28%, vol +1.30x, hist falling, dot 0, ATR long, VWAP below",no selected early failure combination present
2026-08-25,build,AIXI,2026-08-25T18:13:00+00:00,2026-08-25T18:13:01.160804+00:00,False,"Did not reach +5%; 0m price -0.79%, range -0.79% to -0.79%, vol +4.69x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.57%, range -3.15% to +1.57%, vol +2.23x, hist falling, dot 2, ATR long, VWAP below; 5m price -2.36%, range -3.15% to +1.57%, vol +1.32x, hist falling, dot 2, ATR long, VWAP below; 10m price -5.51%, range -5.51% to +1.57%, vol +1.03x, hist falling, dot 0, ATR long, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling; 10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-25,build,PMI,2026-08-25T18:41:00+00:00,2026-08-25T18:41:00.137993+00:00,True,"Reached +5%; 0m price -0.31%, range -0.31% to -0.31%, vol +2.38x, hist rising, dot 3, ATR long, VWAP above; 3m price -3.26%, range -4.37% to +0.51%, vol +0.33x, hist falling, dot 0, ATR long, VWAP above; 5m price -2.64%, range -4.37% to +0.51%, vol +1.33x, hist falling, dot 2, ATR long, VWAP above; 10m price +0.20%, range -4.37% to +0.92%, vol +1.93x, hist rising, dot 3, ATR long, VWAP above",no selected early failure combination present
2026-08-25,build,WVVIP,2026-08-25T19:42:00+00:00,2026-08-25T19:42:03.110480+00:00,False,"Did not reach +5%; 0m price -8.29%, range -8.29% to -8.29%, vol +1.89x, hist rising, dot 3, ATR long, VWAP below; 3m price NA, range -8.29% to -2.86%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 5m price NA, range -8.29% to -2.86%, vol NA, hist NA, dot NA, ATR NA, VWAP NA; 10m price NA, range -8.29% to -2.86%, vol NA, hist NA, dot NA, ATR NA, VWAP NA",nothing visible
2026-08-25,build,AIXI,2026-08-25T19:45:00+00:00,2026-08-25T19:45:00.371530+00:00,True,"Reached +5%; 0m price -0.79%, range -0.79% to -0.79%, vol +4.55x, hist rising, dot 3, ATR long, VWAP below; 3m price -4.72%, range -4.72% to +0.79%, vol +0.93x, hist falling, dot 0, ATR long, VWAP below; 5m price -3.15%, range -4.72% to +0.79%, vol +1.27x, hist rising, dot 3, ATR long, VWAP below; 10m price +6.30%, range -4.72% to +6.30%, vol +3.53x, hist rising, dot 3, ATR long, VWAP above",no selected early failure combination present
2026-08-25,build,DAIC,2026-08-25T19:45:00+00:00,2026-08-25T19:45:00.370510+00:00,True,"Reached +5%; 0m price -0.27%, range -0.27% to -0.27%, vol +4.32x, hist rising, dot 3, ATR long, VWAP below; 3m price +5.42%, range -0.27% to +6.50%, vol +2.43x, hist rising, dot 3, ATR long, VWAP above; 5m price +5.15%, range -0.27% to +7.59%, vol +2.08x, hist falling, dot 3, ATR long, VWAP above; 10m price +4.61%, range -0.27% to +7.59%, vol +1.05x, hist falling, dot 0, ATR long, VWAP above",no selected early failure combination present
2026-08-26,build,DAIC,2026-08-26T12:35:00+00:00,2026-08-26T12:35:01.694955+00:00,True,"Reached +5%; 0m price -0.17%, range -0.17% to -0.17%, vol +2.91x, hist rising, dot 3, ATR long, VWAP below; 3m price -0.51%, range -0.68% to +1.36%, vol +1.12x, hist rising, dot 3, ATR long, VWAP below; 5m price -0.68%, range -0.85% to +1.36%, vol +0.83x, hist falling, dot 1, ATR long, VWAP below; 10m price +0.00%, range -1.36% to +1.36%, vol +0.26x, hist falling, dot 1, ATR long, VWAP below",no selected early failure combination present
2026-08-26,build,YYGH,2026-08-26T12:57:00+00:00,2026-08-26T12:57:00.334133+00:00,False,"Did not reach +5%; 0m price -0.51%, range -0.51% to -0.51%, vol +0.41x, hist rising, dot 3, ATR long, VWAP below; 3m price -1.03%, range -1.03% to +1.03%, vol +1.56x, hist falling, dot 2, ATR long, VWAP below; 5m price +2.05%, range -1.03% to +2.05%, vol +1.44x, hist rising, dot 3, ATR long, VWAP below; 10m price +1.54%, range -1.03% to +3.08%, vol +1.10x, hist falling, dot 0, ATR long, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling
2026-08-26,build,CRE,2026-08-26T12:58:00+00:00,2026-08-26T12:58:00.245641+00:00,False,"Did not reach +5%; 0m price -0.29%, range -0.29% to -0.29%, vol +3.62x, hist rising, dot 3, ATR long, VWAP above; 3m price -5.01%, range -5.87% to +2.01%, vol +1.22x, hist falling, dot 3, ATR long, VWAP below; 5m price -17.62%, range -18.62% to +2.01%, vol +1.98x, hist falling, dot 0, ATR short, VWAP below; 10m price -10.60%, range -18.62% to +2.01%, vol +0.36x, hist rising, dot 3, ATR short, VWAP below",3m: volume_ratio_20 >= +1 AND macd_histogram_direction is falling; 10m: price_vs_entry_pct <= -1 AND max_up_so_far_pct <= +4
2026-08-26,build,CRE,2026-08-26T13:31:00+00:00,2026-08-26T13:31:00.100384+00:00,True,"Reached +5%; 0m price -0.45%, range -0.45% to -0.45%, vol +9.35x, hist rising, dot 3, ATR long, VWAP below; 3m price +4.04%, range -5.69% to +10.48%, vol +3.91x, hist rising, dot 3, ATR long, VWAP above; 5m price +2.69%, range -5.69% to +10.48%, vol +1.32x, hist falling, dot 2, ATR long, VWAP below; 10m price +5.24%, range -5.69% to +10.48%, vol +1.54x, hist rising, dot 3, ATR long, VWAP above",no selected early failure combination present
