day,symbol,population,entry_time_et,entry_price,entry_source,stop_pct,target_at_et,target_price,stop_at_et,stop_price,atr_bar_minute_et,atr_exit_at_et,atr_exit_price,exit_rule,exit_at_et,exit_price,return_pct,recovered_after_stop,target_answerable,stop_answerable,stop_on_reopen,answer,qualification
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-2,09:30:35,7.110000,09:35:35,6.620000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-3,09:30:35,7.110000,09:35:47,6.550000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-4,09:30:35,7.110000,09:35:47,6.480000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-5,09:30:35,7.110000,09:41:17,6.420000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-6,09:30:35,7.110000,09:41:20,6.350000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-7,09:30:35,7.110000,09:41:26,6.280000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,AEHL,PRIMARY,09:30:13,6.76,FROZEN FROM OPERATOR-APPROVED ROW,-8,09:30:35,7.110000,09:41:39,6.210000,09:41:00,09:42:00,6.160000,+5%,09:30:35,7.110000,5.177514792899408284023668600,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,PRIMARY,09:34:26,2.49,FROZEN FROM OPERATOR-APPROVED ROW,-1,09:35:08,2.620000,09:35:46,2.460000,09:54:00,09:55:00,2.230000,+5%,09:35:08,2.620000,5.220883534136546184738955800,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,PRIMARY,09:34:26,2.49,FROZEN FROM OPERATOR-APPROVED ROW,-2,09:35:08,2.620000,09:36:03,2.440000,09:54:00,09:55:00,2.230000,+5%,09:35:08,2.620000,5.220883534136546184738955800,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,PRIMARY,09:34:26,2.49,FROZEN FROM OPERATOR-APPROVED ROW,-3,09:35:08,2.620000,09:36:04,2.410000,09:54:00,09:55:00,2.230000,+5%,09:35:08,2.620000,5.220883534136546184738955800,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
2026-08-31,YDDL,PRIMARY,09:34:26,2.49,FROZEN FROM OPERATOR-APPROVED ROW,-4,09:35:08,2.620000,09:36:05,2.390000,09:54:00,09:55:00,2.230000,+5%,09:35:08,2.620000,5.220883534136546184738955800,,True,True,False,,SIMULATED | NO REALISED CONTROL | NOT SIZE-QUALIFIED
