session_day_et,symbol,policy,entry_slot,entry_mode,order_type,scanner_window_start,scanner_window_end,segment_id,arm_bar_ts_ms,signal_ts,entry_ts,entry_px,target_px,floor_px,exit_trigger_ts,exit_ts,exit_px,exit_reason,ret_pct,duration_seconds,mfe_pct,mae_pct,first_plus_1_ts,first_plus_2_ts,first_minus_1_ts,first_minus_2_ts,quotes_observed
2026-09-01,BIAF,target+2_floor-1,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788285300000,0,2026-09-01T18:30:00+00:00,2026-09-01T18:30:13.361000+00:00,6.75,6.885,6.6825,2026-09-01T18:30:15.044109+00:00,2026-09-01T18:30:19.281452+00:00,6.69,floor,-0.8888888888888832,5.920452,0.0,-1.481481481481476,,,2026-09-01T18:30:15.044109+00:00,,2
2026-09-01,BIAF,target+2_floor-1,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788285300000,1788288540000,2026-09-01T18:52:00+00:00,2026-09-01T19:06:47.347000+00:00,6.85,6.987,6.781499999999999,2026-09-01T19:06:47.358353+00:00,2026-09-01T19:06:47.442329+00:00,6.75,floor,-1.459854014598535,0.095329,0.0,-1.459854014598535,,,2026-09-01T19:06:47.358353+00:00,,2
2026-09-01,BIAF,target+2_floor+0,first,resting,limit,2026-09-01T12:07:07+00:00,,1788267540000,0,2026-09-01T13:00:26.214000+00:00,2026-09-01T13:00:26.214000+00:00,6.7,6.8340000000000005,6.7,2026-09-01T13:00:26.445252+00:00,2026-09-01T13:00:26.827384+00:00,6.69,floor,-0.1492537313432804,0.613384,0.0,-0.1492537313432804,,,,,2
2026-09-01,BIAF,target+2_floor+0,first,resting,limit,2026-09-01T12:07:07+00:00,,1788267540000,0,2026-09-01T13:02:22.382000+00:00,2026-09-01T13:02:22.382000+00:00,6.7,6.8340000000000005,6.7,2026-09-01T13:02:22.391635+00:00,2026-09-01T13:02:22.493924+00:00,6.7,floor,0.0,0.111924,0.0,-0.2985074626865741,,,,,2
2026-09-01,BIAF,target+2_floor+0,reclaim,reactive,limit,2026-09-01T12:07:07+00:00,,1788267540000,1788267720000,2026-09-01T13:07:47.323000+00:00,2026-09-01T13:07:47.323000+00:00,6.82,6.9564,6.82,2026-09-01T13:07:47.843293+00:00,2026-09-01T13:07:47.852627+00:00,6.73,floor,-1.31964809384164,0.529627,0.0,-1.31964809384164,,,2026-09-01T13:07:47.843293+00:00,,2
2026-09-01,BIAF,target+2_floor+0,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788271500000,0,2026-09-01T15:31:00+00:00,2026-09-01T15:31:53.572000+00:00,6.6,6.731999999999999,6.6,2026-09-01T15:31:54.272293+00:00,2026-09-01T15:31:54.272601+00:00,6.51,floor,-1.3636363636363615,0.700601,0.0,-1.3636363636363615,,,2026-09-01T15:31:54.272293+00:00,,2
2026-09-01,BIAF,target+2_floor+0,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788271500000,1788276660000,2026-09-01T15:34:00+00:00,2026-09-01T15:34:09.703000+00:00,6.8,6.936,6.8,2026-09-01T15:34:10.098149+00:00,2026-09-01T15:34:10.155236+00:00,6.79,floor,-0.14705882352940863,0.452236,0.0,-0.7352941176470562,,,,,2
2026-09-01,BIAF,target+2_floor+0,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788278100000,0,2026-09-01T16:38:00+00:00,2026-09-01T16:39:33.085000+00:00,6.53,6.6606000000000005,6.53,2026-09-01T16:39:33.149343+00:00,2026-09-01T16:39:33.150322+00:00,6.47,floor,-0.9188361408882159,0.065322,0.0,-0.9188361408882159,,,,,2
2026-09-01,BIAF,target+2_floor+0,reclaim,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788278100000,1788280920000,2026-09-01T16:46:00+00:00,2026-09-01T16:47:38.131000+00:00,6.62,6.752400000000001,6.62,2026-09-01T16:47:39.206912+00:00,2026-09-01T16:47:39.207212+00:00,6.53,floor,-1.3595166163141972,1.076212,0.0,-1.3595166163141972,,,2026-09-01T16:47:39.206912+00:00,,2
2026-09-01,BIAF,target+2_floor+0,first,resting,STOP_LIMIT,2026-09-01T12:07:07+00:00,,1788285300000,0,2026-09-01T18:30:00+00:00,2026-09-01T18:30:13.361000+00:00,6.75,6.885,6.75,2026-09-01T18:30:15.044109+00:00,2026-09-01T18:30:19.281452+00:00,6.69,floor,-0.8888888888888832,5.920452,0.0,-1.481481481481476,,,2026-09-01T18:30:15.044109+00:00,,2
