session_day_et,symbol,entry_ts,entry_slot,entry_mode,entry_px,won,ret_pct,first_bid_ret_pct,future_mfe_pct,future_mae_pct,future_reached_plus_1,future_reached_plus_2,future_reached_plus_5,mae_before_plus_1_pct,mae_before_plus_2_pct,mae_before_plus_5_pct,seconds_to_plus_1,seconds_to_plus_2,seconds_to_plus_5,log_entry_price,spread_pct,minutes_since_0700,scanner_age_min,confirm_rank_score,log_confirm_day_volume,log_float_used,confirm_change_pct,vwap_dist_pct,macd_pct,histogram_pct,macd_delta_pct,macd_increasing,macd_above_signal,poly_volume_ratio_20,poly_volume_5_vs_prev_5,schwab_volume_ratio_5,is_reclaim,is_reactive,entry_sequence
2026-08-26,DAIC,2026-08-26T12:34:27.627000+00:00,first,resting,5.88,True,0.9999999999999957,-0.3401360544217614,13.435374149659864,-19.217687074829932,True,True,True,-0.680272108843538,-1.360544217687076,-1.360544217687076,56.958549,765.223581,899.933766,0.8375884382355113,0.3401360544217614,94.46045000000001,267.86045,100.0,6.190682074470907,6.0827857292373615,46.392,49.63904593410187,-0.6285502857363198,-0.09838587621407242,0.0754752414036066,1.0,0.0,0.6132343098650885,1.680934770634983,2.8491101686177194,0.0,0.0,1.0
2026-08-26,DAIC,2026-08-26T12:38:25.799000+00:00,reclaim,reactive,5.96,False,-2.0134228187919483,-0.3355704697986506,11.912751677852349,-20.302013422818792,True,True,True,-2.684563758389264,-2.684563758389264,-2.684563758389264,527.086318,552.875518,2985.133694,0.8426092396105621,0.3355704697986506,98.42998333333334,271.82998333333336,100.0,6.190682074470907,6.0827857292373615,46.392,51.6749513209604,0.5729875526956211,0.29202646046624964,-0.009310567793694569,0.0,1.0,0.9415470694443504,0.6094180245318058,0.8134346081572621,1.0,1.0,2.0
2026-08-26,XPON,2026-08-26T15:36:09.608000+00:00,first,resting,9.42,True,1.0000000000000075,-0.8492569002123149,1.486199575371556,-17.197452229299365,True,False,False,-0.8492569002123149,,,30.403354,,,1.0178677189635057,0.8492569002123149,276.16013333333336,111.04346666666667,22.0,6.437595520549044,5.983326732607903,36.14,-0.7016821679653708,1.1367057056311387,0.33194471913639,0.038432620705176106,1.0,1.0,1.0058389234427458,0.9449687697768484,1.8166685551240715,0.0,0.0,1.0
2026-08-26,XPON,2026-08-26T17:29:09.550000+00:00,first,resting,8.24,True,0.9999999999999976,-1.0922330097087363,13.834951456310687,-4.0048543689320395,True,True,True,-1.5776699029126307,-1.5776699029126307,-4.0048543689320395,352.878703,357.851928,4815.581275,0.9656719712201067,1.2135922330097044,389.15916666666664,224.0425,22.0,6.437595520549044,5.983326732607903,36.14,-12.11293782730147,0.2869807990482394,0.0808955030357054,0.04206086601191489,1.0,1.0,1.7391727358647913,2.309258116974149,4.716460769326116,0.0,0.0,2.0
2026-08-26,XPON,2026-08-26T18:47:15.525000+00:00,first,resting,8.25,True,0.9999999999999948,-1.0909090909090893,13.696969696969708,-1.454545454545445,True,True,True,-1.0909090909090893,-1.454545454545445,-1.454545454545445,20.487787,113.048251,129.606275,0.9661417327390326,1.0909090909090893,467.25875,302.14208333333335,22.0,6.437595520549044,5.983326732607903,36.14,-11.613967819979546,0.06880208859133924,0.11409974075829589,0.04961213744902845,1.0,1.0,1.9271948608137046,4.225382705833678,7.851686104330532,0.0,0.0,3.0
2026-08-26,XPON,2026-08-26T19:14:12.990000+00:00,reclaim,resting,8.88,True,1.0000000000000098,-0.45045045045046084,5.63063063063063,-6.531531531531531,True,True,True,-0.9009009009009016,-6.531531531531531,-6.531531531531531,16.269558,2491.81507,2607.868509,0.9947569445876281,0.45045045045046084,494.21650000000005,329.0998333333334,22.0,6.437595520549044,5.983326732607903,36.14,-4.541862713622095,1.0054089460535698,0.1558447934841936,0.02343382842636204,1.0,1.0,1.0092285733837776,0.8085404867765712,3.5666077898096207,1.0,0.0,4.0
2026-08-26,XPON,2026-08-26T19:51:28.616000+00:00,first,resting,8.73,True,1.0000000000000093,-0.6872852233677033,7.445589919816728,-2.0618556701030895,True,True,True,-0.6872852233677033,-2.0618556701030895,-2.0618556701030895,6.496115,216.696552,356.167234,0.9881128402683519,0.4581901489118089,531.4769333333334,366.3602666666667,22.0,6.437595520549044,5.983326732607903,36.14,-5.888014144156745,0.14416288108931996,0.40538503968833944,0.238306188094715,1.0,1.0,5.80246175014582,3.958370476020681,4.737103174603175,0.0,0.0,5.0
2026-08-26,XPON,2026-08-26T19:55:01.111000+00:00,reclaim,resting,8.88,False,-2.815315315315315,-2.815315315315315,5.63063063063063,-2.815315315315315,True,True,True,-2.815315315315315,-2.815315315315315,-2.815315315315315,22.255521,43.69407,159.747509,0.9947569445876281,0.6756756756756812,535.0185166666666,369.90185,22.0,6.437595520549044,5.983326732607903,36.14,-4.238881007499059,0.6256601131115442,0.14687371536888338,-0.03676754803315939,0.0,1.0,0.5498467897099694,0.29530938976882776,3.199822419781766,1.0,0.0,6.0
2026-08-26,YYGH,2026-08-26T13:01:26.497000+00:00,reclaim,reactive,1.98,True,1.000000000000002,-0.5050505050505055,7.575757575757572,-10.606060606060606,True,True,True,-0.5050505050505055,-7.575757575757572,-10.606060606060606,34.815031,2497.373045,9031.99912,0.4742162640762552,0.5050505050505055,121.44161666666668,291.50828333333334,60.0,6.474226611237628,6.50538945283357,68.696,67.90363311306209,0.5681364043820836,0.1380691510525156,0.0352062251332269,1.0,1.0,1.4923951249958936,2.7904986531595974,1.6454476498789645,1.0,1.0,1.0
2026-08-26,YYGH,2026-08-26T13:39:54.404000+00:00,first,resting,1.97,True,1.0000000000000027,-0.5076142131979701,8.121827411167509,-10.15228426395939,True,True,True,-0.5076142131979701,-2.53807106598985,-10.15228426395939,5.132704,189.446759,6723.865682,0.47275644931721233,0.5076142131979701,159.90673333333334,329.97339999999997,60.0,6.474226611237628,6.50538945283357,68.696,3.641140856739241,-0.28880000444927834,0.14139780109158565,0.13938929586079532,1.0,1.0,0.24877507420785594,0.9347205882778017,1.9348235748957272,0.0,0.0,2.0
