Day,Path,Symbol,EntryTime,EntryPrice,ExitTime,ExitPrice,Shares,ExitReason,PnL$,PnL%,CumTradePnL$
2026-06-09,"P3-B(touch,vol>5k)",CCTG,16:00,2.04,16:01,3.3094,3,floor+62.23%,3.8082,62.225,4.3794
2026-06-09,"P3-B(touch,vol>5k)",CCTG,17:27,1.5895,17:28,1.6531,7,scale+4%,0.4452,4.001,0.4452
2026-06-09,"P3-B(touch,vol>5k)",CCTG,17:27,1.5895,17:28,1.7162,3,floor+7.97%,0.3801,7.971,0.8253
2026-06-09,"P3-B(touch,vol>5k)",CCTG,18:02,1.8041,18:03,1.777,10,hard-stop,-0.271,-1.502,-0.271
2026-06-09,"P3-B(touch,vol>5k)",CCTG,19:36,1.393,19:37,1.3721,10,hard-stop,-0.209,-1.5,-0.209
2026-06-09,P1-MACD Cross,CCTG,08:53,2.99,08:54,3.1096,7,scale+4%,0.8372,4.0,0.8372
2026-06-09,P1-MACD Cross,CCTG,08:53,2.99,08:54,3.2551,3,floor+8.87%,0.7953,8.866,1.6325
2026-06-09,P1-MACD Cross,CCTG,09:57,5.07,10:03,5.1714,5,scale+2% *AMBIG,0.507,2.0,0.507
2026-06-09,P1-MACD Cross,CCTG,09:57,5.07,10:03,5.0953,5,floor+0.50% *AMBIG,0.1265,0.499,0.6335
2026-06-09,P2-VWAP Breakout,CCTG,07:02,1.6213,07:03,1.6862,7,scale+4% *AMBIG,0.4543,4.003,0.4543
2026-06-09,P2-VWAP Breakout,CCTG,07:02,1.6213,07:03,1.6657,3,floor+2.74% *AMBIG,0.1332,2.739,0.5875
2026-06-09,P2-VWAP Breakout,CCTG,08:28,2.44,08:29,2.5376,7,scale+4% *AMBIG,0.6832,4.0,0.6832
2026-06-09,P2-VWAP Breakout,CCTG,08:28,2.44,08:29,2.6034,3,floor+6.70% *AMBIG,0.4902,6.697,1.1734
2026-06-09,"P3-B(touch,vol>5k)",AHMA,11:01,2.1413,11:02,2.227,7,scale+4%,0.5999,4.002,0.5999
2026-06-09,"P3-B(touch,vol>5k)",AHMA,11:01,2.1413,11:02,2.2679,3,floor+5.91%,0.3798,5.912,0.9797
2026-06-09,"P3-B(touch,vol>5k)",AHMA,13:57,2.1884,13:58,2.2759,7,scale+4%,0.6125,3.998,0.6125
2026-06-09,"P3-B(touch,vol>5k)",AHMA,13:57,2.1884,13:58,2.2972,3,floor+4.97%,0.3264,4.972,0.9389
2026-06-09,"P3-B(touch,vol>5k)",AHMA,15:01,2.2794,15:02,2.3706,7,scale+4%,0.6384,4.001,0.6384
2026-06-09,"P3-B(touch,vol>5k)",AHMA,15:01,2.2794,15:02,2.4458,3,floor+7.30%,0.4992,7.3,1.1376
2026-06-09,"P3-B(touch,vol>5k)",AHMA,16:02,1.7098,16:03,1.7098,10,floor@BE *AMBIG,0.0,0.0,0.0
2026-06-09,"P3-B(touch,vol>5k)",CHAI,08:44,3.4516,08:45,3.5897,7,scale+4%,0.9667,4.001,0.9667
2026-06-09,"P3-B(touch,vol>5k)",CHAI,08:44,3.4516,08:45,3.5882,3,floor+3.96%,0.4098,3.958,1.3765
2026-06-09,"P3-B(touch,vol>5k)",CHAI,10:55,2.8184,10:56,2.7761,10,hard-stop,-0.423,-1.501,-0.423
2026-06-09,"P3-B(touch,vol>5k)",CHAI,12:36,2.9745,12:37,2.9299,10,hard-stop,-0.446,-1.499,-0.446
2026-06-09,"P3-B(touch,vol>5k)",CHAI,13:18,2.5965,13:19,2.5965,10,floor@BE,0.0,0.0,0.0
2026-06-09,"P3-B(touch,vol>5k)",CHAI,14:03,2.5375,14:04,2.5882,5,scale+2%,0.2535,1.998,0.2535
2026-06-09,"P3-B(touch,vol>5k)",CHAI,14:03,2.5375,14:04,2.5502,5,floor+0.50%,0.0635,0.5,0.317
2026-06-09,"P3-B(touch,vol>5k)",CHAI,14:26,2.5076,14:27,2.6079,7,scale+4% *AMBIG,0.7021,4.0,0.7021
2026-06-09,"P3-B(touch,vol>5k)",CHAI,14:26,2.5076,14:27,2.5709,3,floor+2.52% *AMBIG,0.1899,2.524,0.892
2026-06-09,"P3-B(touch,vol>5k)",CHAI,16:31,1.6499,16:33,1.6829,5,scale+2% *AMBIG,0.165,2.0,0.165
2026-06-09,"P3-B(touch,vol>5k)",CHAI,16:31,1.6499,16:33,1.6746,5,floor+1.50% *AMBIG,0.1235,1.497,0.2885
2026-06-09,"P3-B(touch,vol>5k)",CHAI,19:26,1.651,19:29,1.684,5,scale+2%,0.165,1.999,0.165
2026-06-09,"P3-B(touch,vol>5k)",CHAI,19:26,1.651,19:35,1.6593,5,floor+0.50%,0.0415,0.503,0.2065
2026-06-09,P2-VWAP Breakout,CHAI,07:02,4.78,07:03,4.8756,5,scale+2% *AMBIG,0.478,2.0,0.478
2026-06-09,P2-VWAP Breakout,CHAI,07:02,4.78,07:03,4.8039,5,floor+0.50% *AMBIG,0.1195,0.5,0.5975
2026-06-09,P2-VWAP Breakout,CHAI,07:10,4.82,07:11,5.0128,7,scale+4% *AMBIG,1.3496,4.0,1.3496
2026-06-09,P2-VWAP Breakout,CHAI,07:10,4.82,07:11,4.979,3,floor+3.30% *AMBIG,0.477,3.299,1.8266
2026-06-09,"P3-B(touch,vol>5k)",DAIC,08:49,2.7452,08:50,2.704,10,hard-stop,-0.412,-1.501,-0.412
2026-06-09,"P3-B(touch,vol>5k)",DAIC,10:38,2.8948,10:39,2.9527,5,scale+2% *AMBIG,0.2895,2.0,0.2895
2026-06-09,"P3-B(touch,vol>5k)",DAIC,10:38,2.8948,10:39,2.9382,5,floor+1.50% *AMBIG,0.217,1.499,0.5065
2026-06-09,"P3-B(touch,vol>5k)",DAIC,12:06,2.2356,12:07,2.2356,10,floor@BE,0.0,0.0,0.0
2026-06-09,"P3-B(touch,vol>5k)",DAIC,12:46,2.079,12:47,2.079,10,floor@BE,0.0,0.0,0.0
2026-06-10,"P3-B(touch,vol>5k)",DSY,09:57,9.4653,09:58,9.3233,10,hard-stop,-1.42,-1.5,-1.42
2026-06-10,"P3-B(touch,vol>5k)",DSY,12:44,8.1976,12:45,8.3616,5,scale+2% *AMBIG,0.82,2.001,0.82
