day,symbol,opening_high,break_time_et,atr_state,atr_trail,atr_source,minute_et,price,pct_from_level,bid,ask,spread_pct,halted,qualification
2026-08-26,DAIC,6.350000,09:30:04,LONG,6.020252685497772,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:30,6.370000,0.314960629921259842519685000,6.350000,6.390000,0.6279434850863422291993720565,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:49,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:50,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:51,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:52,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:53,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:54,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:55,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:56,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:57,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:58,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,09:59,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,VCIG,4.060000,09:30:10,LONG,3.562250219786966,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live) through last completed bar 09:29 ET,10:00,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:30,1.954700,-5.570048309178743961352657000,1.950000,1.960000,0.5115089514066496163682864450,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:31,1.890000,-8.695652173913043478260869570,1.880000,1.890000,0.5305039787798408488063660477,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:32,1.890200,-8.685990338164251207729468600,1.890000,1.900000,0.5277044854881266490765171504,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:33,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:34,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:35,2.129900,2.893719806763285024154589400,2.130000,2.140000,0.4683840749414519906323185012,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:36,1.938300,-6.362318840579710144927536230,1.940000,1.950000,0.5141388174807197943444730077,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:37,1.900000,-8.212560386473429951690821260,1.900000,1.910000,0.5249343832020997375328083990,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:38,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:39,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:40,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:41,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:42,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:43,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:44,2.000000,-3.381642512077294685990338160,1.990000,2.000000,0.5012531328320802005012531328,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:45,1.950200,-5.787439613526570048309178740,1.950000,1.960000,0.5115089514066496163682864450,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:46,1.930000,-6.763285024154589371980676330,1.930000,1.940000,0.5167958656330749354005167959,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:47,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:48,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:49,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:50,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:51,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:52,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:53,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:54,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:55,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:56,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:57,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
2026-08-26,MSS,2.070000,09:30:15,LONG,1.7100000000000002,DERIVED: deployed v2 ATR replay on persisted Schwab 1m bars (sources=live+rest) through last completed bar 09:29 ET,09:58,,,,,,False,SIMULATED | NOT SIZE-QUALIFIED
