event,date_et,symbol,entry_time_et,broker,fill_id,fill_price,duplicate_webull_fill,max_up_pct,max_up_elapsed_minutes,max_down_pct,max_down_elapsed_minutes,boundary_kind,exit_time_et,exit_price,exit_trigger,missing_bars
58,2026-08-31,WETO,Webull: 11:30:06.840; Webull: 11:30:12.088,Webull [DUPLICATE x2],Webull: 83d3f232-cefc-4296-a588-4fb1d6134a5c; Webull: f8661467-3fc5-41a5-9574-014066ac07b1,Webull: 12.6200; Webull: 12.6685,yes,Webull: +0.4754; Webull: -0.2250,Webull: 0.079; Webull: 0.007,Webull: -4.6751; Webull: -24.8530,Webull: 2.327; Webull: 63.127,Webull: actual exit; Webull: actual exit,Webull: 11:32:26.606; Webull: 12:47:25.940,Webull: 12.0650; Webull: 10.4900,Webull: CW_HARD_STOP; Webull: native OCO stop,Webull: none; Webull: none
59,2026-08-31,NCRA,Webull: 12:21:19.680; Webull: 12:21:23.309,Webull [DUPLICATE x2],Webull: 1a9b59fc-d1d1-4bbb-994b-affebc20aca4; Webull: 8126eed4-3268-419b-935d-c97ec551ada3,Webull: 3.0500; Webull: 3.0300,yes,Webull: +1.9672; Webull: +3.6304,Webull: 3.808; Webull: 4.096,Webull: -3.9344; Webull: -21.7822,Webull: 0.716; Webull: 47.762,Webull: actual exit; Webull: actual exit,Webull: 12:25:12.289; Webull: 13:13:35.618,Webull: 3.0954; Webull: 2.9100,Webull: CW_FLOOR; Webull: native OCO stop,Webull: none; Webull: none
60,2026-08-31,RDHL,Webull: 12:35:12.972; Webull: 12:35:25.038,Webull [DUPLICATE x2],Webull: 2dc1ce13-7577-45fb-8970-0bd163e7783f; Webull: 78e8a8db-b4b8-4bcc-8793-dbebfb46ba4f,Webull: 1.0700; Webull: 1.0700,yes,Webull: +4.6729; Webull: +4.6729,Webull: 28.681; Webull: 28.480,Webull: -3.7383; Webull: -15.6729,Webull: 6.358; Webull: 195.889,Webull: actual exit; Webull: 16:00 cutoff,Webull: 13:04:23.548; Webull: 16:00:00.000,Webull: 1.0900; Webull: 0.9158 mark,Webull: CW_FLOOR; Webull: still open at 16:00,Webull: none; Webull: none
61,2026-08-31,WETO,Webull: 12:46:06.451,Webull,Webull: 2314080c-12d9-4724-9e7e-5a91a7a0a033,Webull: 10.2800,no,Webull: +9.3385,Webull: 5.966,Webull: -1.4591,Webull: 0.076,Webull: actual exit,Webull: 12:52:04.684,Webull: 11.3300,Webull: native OCO exit,Webull: none
62,2026-08-31,NCRA,Webull: 13:13:20.426,Webull,Webull: 6dba5b63-1c47-4144-aaa9-5dcf33cbfce9,Webull: 2.8500,no,Webull: +10.8772,Webull: 39.426,Webull: -2.8070,Webull: 20.250,Webull: actual exit,Webull: 14:49:07.682,Webull: 2.8200,Webull: native OCO exit,Webull: none
63,2026-08-31,WETO,Webull: 13:47:22.651,Webull,Webull: 741bddfb-325a-4e06-b4cc-6443e6057c26,Webull: 10.8200,no,Webull: +0.3697,Webull: 0.049,Webull: -32.9945,Webull: 109.897,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 7.2500 mark,Webull: still open at 16:00,"Webull: 23 missing: 15:37,15:38,15:39,15:40,15:41,15:42,15:43,15:44,+15 more"
64,2026-08-31,AEHL,Webull: 14:14:00.750,Webull,Webull: f62726a8-56c4-477b-ab00-8b3db1282aa9,Webull: 6.2990,no,Webull: +9.0649,Webull: 30.195,Webull: -2.2067,Webull: 85.619,Webull: actual exit,Webull: 15:57:11.900,Webull: 6.6300,Webull: native OCO exit,Webull: none
65,2026-08-31,YDDL,Webull: 14:35:43.987,Webull,Webull: c265025c-50f2-4f2e-93be-faf665a95713,Webull: 2.3200,no,Webull: +0.8621,Webull: 0.262,Webull: -7.3276,Webull: 12.247,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 2.2700 mark,Webull: still open at 16:00,Webull: none
66,2026-08-31,NCRA,Webull: 15:10:43.016,Webull,Webull: c4953393-266d-45ce-b3ce-5a86e91017c0,Webull: 3.0290,no,Webull: +4.3249,Webull: 1.198,Webull: -16.8042,Webull: 22.910,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 2.8600 mark,Webull: still open at 16:00,Webull: none
67,2026-08-31,AEHL,Webull: 15:46:39.332,Webull,Webull: d9cf9417-b6e8-4449-9656-2d6c60575d55,Webull: 6.4979,no,Webull: +1.8791,Webull: 10.544,Webull: -4.1229,Webull: 7.472,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 6.4600 mark,Webull: still open at 16:00,Webull: none
