session_day_et,split,symbol,buy_signal_ts,entry_ts,entry_px,never_touched_plus_1,bar_number,bar_start_ts,bar_close_ts,strategy_bar_available,post_fill_trade_prints,missing_state,close_vs_entry_pct,close_above_entry,traded_above_entry,bar_direction,running_low_pct,volume_ratio_20,macd_histogram,macd_histogram_pct,macd_histogram_direction,stochastic,rsi,dot_consensus,vwap,price_vs_vwap_pct,above_vwap,atr_trailing_stop,atr_stop_vs_price_pct,atr_stop_position
2026-08-31,holdout,WETO,2026-08-31T16:21:00+00:00,2026-08-31T16:21:00.121548+00:00,10.7,True,3,2026-08-31T16:23:00+00:00,2026-08-31T16:24:00+00:00,True,394,,-4.672897196261683,False,False,up,-5.793457943925229,0.522315926395711,0.03365555541675144,0.32995642565442596,falling,33.30665599573153,40.82376192589893,2,10.977624879942747,-7.083726110586531,False,9.766340891484186,-4.25155988740994,below
2026-08-31,holdout,WETO,2026-08-31T16:21:00+00:00,2026-08-31T16:21:00.121548+00:00,10.7,True,4,2026-08-31T16:24:00+00:00,2026-08-31T16:25:00+00:00,True,292,,-5.046728971962611,False,False,up,-5.793457943925229,0.27924581050639513,0.030694664662001436,0.30211284116143144,falling,27.971188475390168,39.9124731159889,1,10.977343914688586,-7.4457347883116975,False,9.766340891484186,-3.874597524761958,below
2026-08-31,holdout,WETO,2026-08-31T16:21:00+00:00,2026-08-31T16:21:00.121548+00:00,10.7,True,5,2026-08-31T16:25:00+00:00,2026-08-31T16:26:00+00:00,True,247,,-5.5140186915887845,False,False,down,-5.793457943925229,0.2575308086779287,0.026185759232415534,0.2590084988369489,falling,21.301854074963224,38.748110532342935,0,10.977076438455285,-7.898974224299948,False,9.766340891484186,-3.3991998864076556,below
2026-08-31,holdout,WETO,2026-08-31T16:47:00+00:00,2026-08-31T16:47:00.029010+00:00,10.42,False,1,2026-08-31T16:47:00+00:00,2026-08-31T16:48:00+00:00,True,1067,,1.2466410748560364,True,True,up,-0.8637236084452993,1.3484696975355002,0.09652267156335702,0.9149155116480443,rising,93.57692307692302,64.33279001123111,3,10.945730479340227,-3.616300255952287,False,9.843469699916502,-6.696085271741881,below
2026-08-31,holdout,WETO,2026-08-31T16:47:00+00:00,2026-08-31T16:47:00.029010+00:00,10.42,False,2,2026-08-31T16:48:00+00:00,2026-08-31T16:49:00+00:00,True,1361,,3.3579654510556667,True,True,up,-0.8637236084452993,1.7563584719323342,0.1164891071602816,1.0816173516957595,rising,91.3365384615385,68.9019792629957,3,10.944943128283743,-1.5993059647007146,False,9.954792759933202,-7.568382622557291,below
2026-08-31,holdout,WETO,2026-08-31T16:47:00+00:00,2026-08-31T16:47:00.029010+00:00,10.42,False,3,2026-08-31T16:49:00+00:00,2026-08-31T16:50:00+00:00,True,2212,,3.9779270633397257,True,True,up,-0.8637236084452993,3.615930525828467,0.12744729374204516,1.1763098780935453,rising,79.25781250000003,70.11271937201367,3,10.944497735413433,-1.0050505566601808,False,9.954792759933202,-8.119500115988721,below
2026-08-31,holdout,WETO,2026-08-31T16:47:00+00:00,2026-08-31T16:47:00.029010+00:00,10.42,False,4,2026-08-31T16:50:00+00:00,2026-08-31T16:51:00+00:00,True,1586,,5.854126679462568,True,True,up,-0.8637236084452993,1.6991611138181029,0.1402480921430859,1.2715148879699538,rising,92.36641221374036,73.47801439424003,3,10.944681042271862,0.7795472284537919,True,10.08294136635725,-8.586207013986847,below
2026-08-31,holdout,WETO,2026-08-31T16:47:00+00:00,2026-08-31T16:47:00.029010+00:00,10.42,False,5,2026-08-31T16:51:00+00:00,2026-08-31T16:52:00+00:00,True,1172,,7.869481765834929,True,True,up,-0.8637236084452993,1.4975124378109452,0.15413846728471736,1.3713386769102969,rising,99.3002099370189,76.53450881557066,3,10.945352332994245,2.691988873830531,True,10.307353093085801,-8.297570346211735,below
2026-08-31,holdout,YDDL,2026-08-31T12:12:00+00:00,2026-08-31T12:12:00.048820+00:00,2.39,False,1,2026-08-31T12:12:00+00:00,2026-08-31T12:13:00+00:00,True,226,,-0.8410041841004245,False,False,down,-1.673640167364021,2.0472847935677367,0.00843850547281743,0.356070107296402,rising,83.24999999999983,52.82262102247652,3,2.430349954926497,-2.4872942599875714,False,2.2639011237435764,-4.472715146479745,below
2026-08-31,holdout,YDDL,2026-08-31T12:12:00+00:00,2026-08-31T12:12:00.048820+00:00,2.39,False,2,2026-08-31T12:13:00+00:00,2026-08-31T12:14:00+00:00,True,132,,-1.2552301255230214,False,False,down,-1.673640167364021,0.6518484246782206,0.007755003838406167,0.3286018575595834,falling,74.99999999999982,51.04726417222216,3,2.4301169826148574,-2.88533363276241,False,2.2639011237435764,-4.071986282051842,below
